Sex,Marital,Age,Income,JobType,Occupation,BorrowingRatio,CreditAppAmount,OtherDebts,DebtRestruct,Industry,Education,Dependents,OwnHouse,Foreigner,Phone,EmploymentYears,Guarantor,Collateral,PredictedProbability,Actual
0,1,58,3270000,3,4,0.0,2610000,0,0,3,2,0,1,0,1,37,0,1,0.020119950665136943,0
0,1,48,2820000,3,2,0.43,4960000,1210000,0,2,3,3,0,0,0,24,0,1,0.4233210110633971,0
1,1,52,3530000,2,8,0.18,3530000,640000,0,6,4,1,0,1,0,23,0,1,0.07290880762363312,0
0,0,39,3110000,2,5,0.0,4150000,0,0,2,3,3,1,0,0,20,1,0,0.03308102529303467,0
0,0,33,5240000,1,3,0.14,680000,740000,0,5,3,2,0,0,0,15,1,1,0.016895848036178517,0
0,1,34,3060000,3,4,0.0,4050000,0,0,3,2,1,1,0,1,3,1,0,0.023070986065501307,0
1,1,44,4550000,3,0,0.47,4080000,2160000,0,0,2,3,0,0,0,16,1,0,0.8655019889493503,0
0,0,52,3930000,2,9,0.28,1900000,1120000,0,3,1,0,1,1,0,20,0,1,0.05402956948190648,0
1,1,40,3860000,3,4,0.0,1260000,0,0,3,3,3,1,0,0,9,1,0,0.0352076574809317,0
0,1,38,3810000,2,5,0.25,1470000,970000,0,2,1,3,0,0,1,0,1,0,0.058445823945583855,0
1,0,27,3000000,3,2,0.0,810000,0,0,2,4,2,0,0,0,8,1,0,0.048605430603108825,0
0,0,33,3460000,2,5,0.0,2590000,0,0,2,4,1,0,0,0,10,0,0,0.022690327219708397,0
1,0,40,3860000,2,9,0.0,740000,0,0,3,2,2,0,0,0,22,1,0,0.052805819036721824,0
0,1,63,6120000,1,10,0.45,1510000,2770000,0,4,4,3,1,1,1,27,0,1,0.20618161615805827,0
0,1,38,6610000,3,0,0.2,3060000,1340000,0,0,1,0,1,0,1,4,0,1,0.030682991370602535,0
0,0,30,3220000,2,5,0.13,2400000,420000,0,2,1,2,1,0,0,6,0,1,0.01679739373345388,0
0,1,27,4810000,3,0,0.5,1200000,2390000,0,0,1,0,0,0,1,1,1,1,0.5141922726385454,1
1,1,35,3070000,3,2,0.47,3260000,1430000,0,2,3,3,1,0,1,0,1,1,0.37649986762099397,1
1,1,40,5810000,3,0,0.38,4050000,2210000,0,0,4,3,0,0,1,2,0,0,0.17908715208131745,0
0,1,35,4770000,2,5,0.17,4300000,820000,0,2,2,2,0,0,1,17,0,1,0.04556627686116847,0
0,0,29,3700000,4,1,0.0,1150000,0,0,7,3,1,1,0,1,5,1,0,0.020823450732842485,0
1,1,48,5230000,1,10,0.0,1130000,0,0,4,3,2,0,0,0,13,0,0,0.02060857704787657,0
1,1,58,4030000,2,9,0.0,4220000,0,0,3,1,0,1,0,1,11,0,1,0.022650833862942636,0
0,0,43,4520000,3,2,0.0,3480000,0,0,2,3,1,0,0,0,10,0,1,0.018931213572003558,0
1,1,51,7220000,3,0,0.0,1510000,0,0,0,4,1,1,0,0,0,1,0,0.022638076617779102,0
1,1,56,4380000,1,3,0.0,1050000,0,0,5,1,3,1,0,0,15,1,1,0.01702495882789372,0
0,1,60,4910000,2,9,0.32,1320000,1560000,0,3,2,2,1,0,0,12,1,1,0.03694906033305066,0
0,1,25,4540000,2,5,0.37,1990000,1680000,0,2,2,3,1,0,0,7,1,0,0.03939163058840376,0
1,1,53,3920000,2,9,0.18,2170000,720000,0,3,1,1,0,0,0,3,0,1,0.07417148216470328,0
0,0,45,4540000,2,9,0.06,4410000,250000,0,3,4,1,1,0,0,19,1,1,0.03727166337950993,0
0,1,65,4430000,3,2,0.0,1050000,0,0,2,2,0,1,0,0,17,1,0,0.025562283171984664,0
1,0,51,6080000,1,3,0.38,3400000,2310000,0,5,3,3,0,0,1,3,0,1,0.03398102963270239,0
0,1,49,4200000,1,3,0.0,4650000,0,0,5,4,2,0,0,0,27,0,0,0.019251872927399234,0
1,0,53,5750000,1,3,0.0,4870000,0,0,5,3,1,0,0,0,23,0,0,0.008890837216430457,0
0,0,65,2470000,4,1,0.0,3550000,0,0,7,4,0,0,1,0,26,0,1,0.386109884051721,0
1,1,35,3530000,2,8,0.12,1390000,420000,1,6,1,2,1,0,1,7,1,1,0.92611227905498,1
1,1,53,4820000,3,0,0.07,4430000,350000,0,0,3,0,1,0,1,5,1,1,0.028538769048381676,0
0,1,38,4420000,1,3,0.0,4230000,0,0,5,3,3,1,0,1,6,0,0,0.015940988048628528,0
0,1,31,2690000,2,5,0.2,3790000,530000,0,2,3,1,0,0,1,8,0,1,0.09689992417211925,1
1,1,29,7900000,3,0,0.09,700000,740000,0,0,1,1,1,0,0,5,1,1,0.017214679790773162,0
1,0,27,3550000,2,9,0.41,530000,1450000,0,3,3,2,0,0,1,4,1,0,0.10299674253120913,0
1,1,52,4910000,2,9,0.0,1690000,0,0,3,3,1,1,0,1,30,1,1,0.01704460336363738,0
0,1,56,3560000,4,1,0.0,3210000,0,0,7,2,0,1,0,0,2,0,1,0.22228283481238753,0
1,1,39,2560000,2,9,0.0,3860000,0,0,3,3,2,1,0,0,21,1,0,0.4137154575120213,0
0,1,55,3300000,2,9,0.37,4510000,1220000,0,3,1,0,0,0,1,36,0,1,0.08793065308275134,0
0,1,61,6410000,1,10,0.0,3670000,0,0,4,2,3,0,0,1,1,0,0,0.015194304845038399,0
1,0,46,3700000,2,9,0.1,1350000,370000,0,3,2,1,1,0,1,19,1,1,0.0287828599839948,0
1,0,25,2630000,3,4,0.0,4500000,0,0,3,1,1,1,0,0,6,0,1,0.16842866548103805,0
0,1,55,5100000,3,0,0.0,3870000,0,0,0,4,3,1,0,0,24,1,1,0.024562747961371385,0
0,0,37,2460000,4,1,0.2,1280000,500000,0,7,3,3,0,0,1,0,1,1,0.12597037278083056,0
0,1,56,2400000,4,1,0.06,1640000,140000,0,7,2,1,0,0,0,16,1,1,0.3261264926290893,0
1,1,25,5620000,1,3,0.28,1840000,1600000,0,5,4,1,1,0,0,4,1,1,0.01095010783845799,0
0,1,35,4650000,2,9,0.0,3570000,0,0,3,2,2,1,0,1,17,0,1,0.016074109826040982,0
